date,year,threshold_c,component_count_28c,canonical_area_km2,canonical_sst_area_integral_c_km2,canonical_mean_sst_c,canonical_centroid_lon_360,canonical_centroid_lat,lcc_area_km2,lcc_sst_area_integral_c_km2,lcc_mean_sst_c,lcc_centroid_lon_360,lcc_centroid_lat,yan_gt28_area_km2,yan_gt28_sst_area_integral_c_km2,yan_gt28_mean_sst_c,yan_gt28_centroid_lon_360,yan_gt28_centroid_lat,yan_ge28_sensitivity_area_km2,yan_ge28_sensitivity_sst_area_integral_c_km2,yan_ge28_sensitivity_mean_sst_c,yan_ge28_sensitivity_centroid_lon_360,yan_ge28_sensitivity_centroid_lat,lcc_minus_yan_gt28_area_km2,lcc_minus_yan_gt28_mean_sst_c,canonical_minus_yan_gt28_area_km2,lcc_yan_gt28_centroid_distance_km,lcc_yan_gt28_intersection_area_km2,lcc_yan_gt28_union_area_km2,lcc_yan_gt28_area_jaccard,lcc_area_outside_yan_box_km2,lcc_area_outside_yan_box_fraction,yan_gt28_area_outside_lcc_km2,yan_gt28_area_outside_lcc_fraction,canonical_area_outside_yan_box_km2,canonical_area_outside_yan_box_fraction,yan_operator_sensitivity_area_km2,yan_operator_sensitivity_mean_sst_c
2002-01-21,2002,28,55,28923507.3672,840160158.139,29.0476582758,165.777501063,-6.3930078669,27591652.5268,802394487.718,29.0810594595,164.815342212,-6.85462108123,24858227.2712,724069036.791,29.1279433924,164.834563275,-5.66603290278,24975953.5896,727365373.705,29.1226267336,,,2733425.25557,-0.0468839328762,4065280.09597,132.182232038,24469997.2163,27979882.5817,0.874556822917,3026754.41553,0.10969819269,388230.054943,0.0156177691477,4002892.30689,0.138395812654,117726.318343,-0.0053166587778
2002-01-22,2002,28,51,28359274.6418,822657614.031,29.0084152159,165.864531693,-6.46129827028,27089825.1041,786716581.404,29.0410358273,165.6582194,-6.9978666476,24733918.3518,719147210.76,29.0753450599,165.5179339,-5.74672586081,24847994.1477,722341333.046,29.0704082089,,,2355906.75234,-0.0343092325322,3625356.29008,139.981757569,24155566.6718,27668176.7841,0.873045118235,2836239.24044,0.104697584039,578351.67997,0.0233829380265,3568134.86468,0.125818974912,114075.795912,-0.00493685095287
2002-01-23,2002,28,54,26957763.8933,781840463.782,29.0024227112,165.0247283,-6.6490187527,25713130.4495,746671722.177,29.0385382536,164.970114557,-7.10420021867,23918631.5087,695103231.667,29.0611622748,165.436199675,-6.00441908011,24045539.2302,698656647.869,29.0555616649,,,1794498.94079,-0.0226240212426,3039132.38462,132.686841958,23239262.1546,26392499.8036,0.88052523738,2375239.75193,0.0923745849069,679369.354099,0.0284033538395,2969079.03363,0.110138179315,126907.721502,-0.00560060995733
2002-01-24,2002,28,64,25360127.2018,736456898.423,29.0399528584,165.205748486,-7.58028419654,23632944.0092,687761408.247,29.10180839,163.717524892,-8.21373194019,22158929.5468,644946640.232,29.1054962231,165.115542312,-7.02113784649,22265093.6157,647919234.16,29.1002250134,,,1474014.46243,-0.00368783310343,3201197.65505,203.286861204,21289899.3007,24501974.2553,0.868905463652,2287831.6947,0.0968068850756,869030.246086,0.0392180607936,3151887.95669,0.124285179313,106164.068873,-0.00527120968777
2002-01-25,2002,28,63,25010369.1453,727696900.239,29.0958080631,165.477391315,-8.34348681901,23126214.3422,674543167.81,29.167902616,163.193000616,-8.69876504691,21500192.8696,627228746.524,29.1731683677,164.804124424,-7.52743633265,21591161.3317,629775863.464,29.1682255432,,,1626021.47257,-0.0052657517019,3510176.27572,220.040836213,20760974.5946,23865432.6172,0.869918217181,2302432.31778,0.0995594126957,739218.27501,0.03438193692,3476062.18408,0.138984841203,90968.4621525,-0.00494282454843
2002-01-26,2002,28,63,24891573.4007,723824856.249,29.0791122199,165.193669946,-8.38092755711,23043690.4002,671668405.967,29.147605887,163.447682797,-8.96378358253,21627184.6,630299443.472,29.1438509047,165.008176224,-7.63163392465,21721353.6984,632936178.225,29.1388919408,,,1416505.80012,0.00375498234135,3264388.80063,226.765123141,20741341.59,23929533.4102,0.866767489126,2234864.48577,0.0969837923945,885843.010079,0.0409597007868,3227074.07283,0.129645242624,94169.0983081,-0.0049589638745
2002-01-27,2002,28,63,25228232.7181,732796859.664,29.0466981121,165.714956889,-8.29501613742,23664974.0006,688547270.521,29.0956275931,164.653507731,-9.06897875896,21799767.7893,634746882.593,29.1171396286,165.013623858,-7.58255548465,21898646.098,637515475.236,29.1120954411,,,1865206.21125,-0.0215120355299,3428464.92877,169.965274242,20865609.8783,24599131.9116,0.848225455809,2735677.05032,0.115600255899,934157.911064,0.042851736775,3384137.83484,0.134140899708,98878.3086737,-0.00504418750522
2002-01-28,2002,28,67,26301878.7995,762274508.904,28.9817512549,166.523113576,-7.85168351653,23774485.4045,690699560.744,29.0521350511,164.718914218,-9.03254186565,22682467.8077,658882078.959,29.048077332,165.62920931,-7.23979793648,22796638.8647,662078868.556,29.0428283083,,,1092017.59682,0.00405771911074,3619410.99183,223.108986078,21067940.6747,25389012.5375,0.829805438222,2632853.89843,0.11074283433,1614527.13299,0.0711795183257,3560557.95314,0.135372761021,114171.057024,-0.00524902366301
2002-01-29,2002,28,49,27529742.7959,797347851.678,28.9631420674,168.197231455,-7.78755035584,25545294.7983,741226448.66,29.016163427,166.382691084,-8.37501984343,23211899.8704,674240842.379,29.0472062237,166.415175272,-6.93048802179,23332791.6966,677625813.513,29.0417804403,,,2333394.92789,-0.0310427966171,4317842.92551,160.66471808,22470971.0434,26286223.6253,0.854857333779,2979257.74553,0.116626477363,740928.826985,0.0319202146796,4249201.63837,0.154349485568,120891.826216,-0.0054257833546
2002-01-30,2002,28,42,28557753.6,827923991.692,28.9912156008,169.509678715,-8.04139350815,27598956.779,800627415.252,29.009336174,167.867745574,-8.44203678482,23555292.8561,685245678.591,29.0909428626,167.057811703,-6.82585461614,23659457.3814,688162285.297,29.0861398131,,,4043663.92282,-0.0816066886441,5002460.74389,200.657549309,23360214.6533,27794034.9818,0.840475831186,4143711.68735,0.150140156403,195078.20282,0.00828171417827,4951313.13582,0.173378943077,104164.525225,-0.00480304951646
